Country Name,Country Code,Total Population
Aruba,ABW,105846
Africa Eastern and Southern,AFE,643090131
Afghanistan,AFG,37171922
Africa Western and Central,AFW,435229381
Angola,AGO,30809787
Albania,ALB,2866376
Andorra,AND,77008
Arab World,ARB,419851989
United Arab Emirates,ARE,9630966
Argentina,ARG,44494502
Armenia,ARM,2951741
American Samoa,ASM,55461
Antigua and Barbuda,ATG,96282
Australia,AUS,24982688
Austria,AUT,8840521
Azerbaijan,AZE,9939771
Burundi,BDI,11175379
Belgium,BEL,11427054
Benin,BEN,11485035
Burkina Faso,BFA,19751466
Bangladesh,BGD,161376713
Bulgaria,BGR,7025037
Bahrain,BHR,1569440
"Bahamas, The",BHS,385635
Bosnia and Herzegovina,BIH,3323929
Belarus,BLR,9438785
Belize,BLZ,383071
Bermuda,BMU,63919
Bolivia,BOL,11353140
Brazil,BRA,209469320
Barbados,BRB,286640
Brunei Darussalam,BRN,428960
Bhutan,BTN,754396
Botswana,BWA,2254067
Central African Republic,CAF,4666375
Canada,CAN,37065084
Central Europe and the Baltics,CEB,102538451
Switzerland,CHE,8514329
Channel Islands,CHI,170496
Chile,CHL,18729166
China,CHN,1402760000
Cote d'Ivoire,CIV,25069226
Cameroon,CMR,25216261
"Congo, Dem. Rep.",COD,84068092
"Congo, Rep.",COG,5244363
Colombia,COL,49661056
Comoros,COM,832322
Cabo Verde,CPV,543764
Costa Rica,CRI,4999443
Caribbean small states,CSS,7358929
Cuba,CUB,11338146
Curacao,CUW,159336
Cayman Islands,CYM,64172
Cyprus,CYP,1189262
Czech Republic,CZE,10629928
Germany,DEU,82905782
Djibouti,DJI,958923
Dominica,DMA,71626
Denmark,DNK,5793636
Dominican Republic,DOM,10627147
Algeria,DZA,42228415
East Asia & Pacific (excluding high income),EAP,2091680327
Early-demographic dividend,EAR,3248413593
East Asia & Pacific,EAS,2338201887
Europe & Central Asia (excluding high income),ECA,416880073
Europe & Central Asia,ECS,918031055
Ecuador,ECU,17084359
"Egypt, Arab Rep.",EGY,98423602
Euro area,EMU,341979171
Eritrea,ERI,
Spain,ESP,46797754
Estonia,EST,1321977
Ethiopia,ETH,109224410
European Union,EUU,446915113
Fragile and conflict affected situations,FCS,888488369
Finland,FIN,5515525
Fiji,FJI,883490
France,FRA,67101930
Faroe Islands,FRO,48497
"Micronesia, Fed. Sts.",FSM,112640
Gabon,GAB,2119275
United Kingdom,GBR,66460344
Georgia,GEO,3726549
Ghana,GHA,29767108
Gibraltar,GIB,33715
Guinea,GIN,12414292
"Gambia, The",GMB,2280092
Guinea-Bissau,GNB,1874304
Equatorial Guinea,GNQ,1308966
Greece,GRC,10732882
Grenada,GRD,111449
Greenland,GRL,56023
Guatemala,GTM,16346950
Guam,GUM,165770
Guyana,GUY,779007
High income,HIC,1205920193
"Hong Kong SAR, China",HKG,7451000
Honduras,HND,9587523
Heavily indebted poor countries (HIPC),HPC,780234453
Croatia,HRV,4087843
Haiti,HTI,11123183
Hungary,HUN,9775564
IBRD only,IBD,4787343661
IDA & IBRD total,IBT,6420905201
IDA total,IDA,1633561540
IDA blend,IDB,549127807
Indonesia,IDN,267670549
IDA only,IDX,1084433733
Isle of Man,IMN,84073
India,IND,1352642283
Not classified,INX,
Ireland,IRL,4867316
"Iran, Islamic Rep.",IRN,81800204
Iraq,IRQ,38433604
Iceland,ISL,352721
Israel,ISR,8882800
Italy,ITA,60421760
Jamaica,JAM,2934853
Jordan,JOR,9965322
Japan,JPN,126529100
Kazakhstan,KAZ,18276452
Kenya,KEN,51392570
Kyrgyz Republic,KGZ,6322800
Cambodia,KHM,16249795
Kiribati,KIR,115842
St. Kitts and Nevis,KNA,52438
"Korea, Rep.",KOR,51585058
Kuwait,KWT,4137314
Latin America & Caribbean (excluding high income),LAC,583432088
Lao PDR,LAO,7061498
Lebanon,LBN,6859408
Liberia,LBR,4818976
Libya,LBY,6678565
St. Lucia,LCA,181890
Latin America & Caribbean,LCN,640483827
Least developed countries: UN classification,LDC,1009398577
Low income,LIC,631147232
Liechtenstein,LIE,37918
Sri Lanka,LKA,21670000
Lower middle income,LMC,3240031866
Low & middle income,LMY,6367625423
Lesotho,LSO,2108327
Late-demographic dividend,LTE,2297874675
Lithuania,LTU,2801543
Luxembourg,LUX,607950
Latvia,LVA,1927174
"Macao SAR, China",MAC,631633
St. Martin (French part),MAF,37264
Morocco,MAR,36029089
Monaco,MCO,38682
Moldova,MDA,2708214
Madagascar,MDG,26262313
Maldives,MDV,515704
Middle East & North Africa,MEA,448974232
Mexico,MEX,126190782
Marshall Islands,MHL,58412
Middle income,MIC,5736478191
North Macedonia,MKD,2076217
Mali,MLI,19077755
Malta,MLT,484630
Myanmar,MMR,53708318
Middle East & North Africa (excluding high income),MNA,382955167
Montenegro,MNE,622227
Mongolia,MNG,3170214
Northern Mariana Islands,MNP,56889
Mozambique,MOZ,29496009
Mauritania,MRT,4403312
Mauritius,MUS,1265303
Malawi,MWI,18143215
Malaysia,MYS,31528033
North America,NAC,363967202
Namibia,NAM,2448300
New Caledonia,NCL,270650
Niger,NER,22442831
Nigeria,NGA,195874685
Nicaragua,NIC,6465502
Netherlands,NLD,17231624
Norway,NOR,5311916
Nepal,NPL,28095712
Nauru,NRU,10678
New Zealand,NZL,4900600
OECD members,OED,1357997747
Oman,OMN,4829476
Other small states,OSS,30760469
Pakistan,PAK,212228288
Panama,PAN,4176868
Peru,PER,31989265
Philippines,PHL,106651394
Palau,PLW,17911
Papua New Guinea,PNG,8606324
Poland,POL,37974750
Pre-demographic dividend,PRE,919485090
Puerto Rico,PRI,3193354
"Korea, Dem. People's Rep.",PRK,25549606
Portugal,PRT,10283822
Paraguay,PRY,6956069
West Bank and Gaza,PSE,4569087
Pacific island small states,PSS,2455336
Post-demographic dividend,PST,1109728820
French Polynesia,PYF,277673
Qatar,QAT,2781682
Romania,ROU,19473970
Russian Federation,RUS,144477859
Rwanda,RWA,12301969
South Asia,SAS,1814455018
Saudi Arabia,SAU,33702757
Sudan,SDN,41801532
Senegal,SEN,15854324
Singapore,SGP,5638676
Solomon Islands,SLB,652856
Sierra Leone,SLE,7650149
El Salvador,SLV,6420740
San Marino,SMR,33784
Somalia,SOM,15008225
Serbia,SRB,6982604
Sub-Saharan Africa (excluding high income),SSA,1078222750
South Sudan,SSD,10975924
Sub-Saharan Africa,SSF,1078319512
Small states,SST,40574734
Sao Tome and Principe,STP,211032
Suriname,SUR,575987
Slovak Republic,SVK,5446771
Slovenia,SVN,2073894
Sweden,SWE,10175214
Eswatini,SWZ,1136274
Sint Maarten (Dutch part),SXM,40895
Seychelles,SYC,96762
Syrian Arab Republic,SYR,16945062
Turks and Caicos Islands,TCA,37667
Chad,TCD,15477727
East Asia & Pacific (IDA & IBRD countries),TEA,2066103849
Europe & Central Asia (IDA & IBRD countries),TEC,458942666
Togo,TGO,7889095
Thailand,THA,69428454
Tajikistan,TJK,9100847
Turkmenistan,TKM,5850902
Latin America & the Caribbean (IDA & IBRD countries),TLA,624698076
Timor-Leste,TLS,1267975
Middle East & North Africa (IDA & IBRD countries),TMN,378386080
Tonga,TON,103199
South Asia (IDA & IBRD),TSA,1814455018
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078319512
Trinidad and Tobago,TTO,1389841
Tunisia,TUN,11565203
Turkey,TUR,82340090
Tuvalu,TUV,11505
Tanzania,TZA,56313444
Uganda,UGA,42729032
Ukraine,UKR,44622518
Upper middle income,UMC,2496446325
Uruguay,URY,3449290
United States,USA,326838199
Uzbekistan,UZB,32956100
St. Vincent and the Grenadines,VCT,110210
"Venezuela, RB",VEN,28887117
British Virgin Islands,VGB,29795
Virgin Islands (U.S.),VIR,107001
Vietnam,VNM,95545959
Vanuatu,VUT,292675
World,WLD,7602432733
Samoa,WSM,196128
Kosovo,XKX,1797085
"Yemen, Rep.",YEM,28498683
South Africa,ZAF,57792520
Zambia,ZMB,17351714
Zimbabwe,ZWE,14438812
